,bothfoot_L,swing_L,bothfoot_R,swing_R,stand_L,stand_R,cluster_id
333,1081,525,931,659,233,189,4
334,826,483,796,509,130,187,4
335,857,496,841,465,164,228,4
336,4650,276,930,540,135,3975,2
337,1089,425,840,555,105,429,4
338,2860,473,1080,735,180,1945,7
339,1043,578,870,615,211,217,4
340,1465,549,961,675,212,578,0
341,1503,117,945,660,659,184,0
342,1065,619,870,630,208,227,4
343,1125,679,1140,600,212,313,4
344,1271,414,1410,750,175,346,0
345,1028,593,1111,645,175,208,4
346,1005,484,931,615,161,229,4
347,913,488,855,570,133,210,4
348,931,501,825,555,172,204,4
349,994,568,900,600,167,227,4
350,1052,465,1005,600,191,261,4
351,2690,538,1005,600,166,1924,7
352,1113,563,916,644,257,212,4
353,809,487,780,510,135,164,4
354,891,307,840,480,185,226,4
355,2193,446,855,510,120,1563,7
356,794,393,720,525,115,154,4
357,832,396,690,510,140,182,4
358,1718,295,690,870,694,154,0
359,1629,425,1785,660,173,796,0
360,728,377,766,464,96,168,4
361,691,454,631,449,84,158,4
362,728,421,691,479,96,153,4
363,776,495,646,555,92,129,4
364,5322,567,3870,600,179,4543,2
365,827,417,945,510,118,199,4
366,723,423,690,465,103,155,4
367,754,456,690,480,110,164,4
368,828,502,735,525,134,169,4
369,839,494,811,524,140,175,4
370,790,446,811,479,134,177,4
371,770,458,751,495,104,171,4
372,762,474,720,480,124,158,4
373,2745,329,1035,540,493,1712,7
374,1123,548,1080,645,220,258,4
375,1075,624,990,630,223,222,4
376,1155,588,1110,690,202,263,4
377,1249,632,1035,735,269,245,4
378,6026,599,4291,615,176,5235,2
379,1047,496,1020,615,187,245,4
380,1011,493,915,615,164,232,4
381,906,565,855,570,138,198,4
382,3873,407,975,615,1531,1727,7
383,2564,504,1005,555,158,1851,7
384,925,499,900,510,177,238,4
385,895,493,1006,419,146,330,4
386,884,555,841,539,143,202,4
387,1189,335,871,674,342,173,4
388,947,527,856,630,138,179,4
389,888,497,870,525,158,205,4
390,853,513,840,540,128,185,4
391,923,601,825,555,184,184,4
392,1075,552,1020,660,180,235,4
393,972,522,915,615,174,183,4
394,1026,581,870,645,207,174,4
395,2585,533,2566,644,163,1778,7
396,1092,550,991,630,167,295,4
397,973,489,900,615,175,183,4
398,974,577,840,600,198,176,4
399,840,505,990,495,130,215,4
400,950,495,825,600,160,190,4
401,2699,430,1290,615,156,1928,7
402,3246,396,870,465,1104,1677,7
403,814,388,645,555,111,148,4
404,4754,680,3256,660,212,3882,2
405,1210,737,1185,705,212,293,0
406,1266,608,1245,720,250,296,0
407,4359,644,1695,526,270,3563,2
408,1381,608,1245,765,285,331,0
409,1392,688,1185,840,260,292,0
410,1227,616,1245,690,240,297,0
411,8470,652,1201,720,205,7545,2
412,1351,661,1215,720,273,358,0
413,1385,631,1290,720,309,356,0
414,1542,666,1335,810,337,395,0
415,3566,736,1275,855,249,2462,7
416,1363,620,1366,689,293,381,0
417,1454,618,1216,855,296,303,0
418,1248,586,1215,720,227,301,0
419,1233,904,1065,720,261,252,0
420,880,429,1380,555,110,215,4
421,862,462,765,525,111,226,4
422,723,424,630,480,114,129,4
423,1106,737,660,480,504,122,4
424,766,449,735,479,118,169,4
425,781,459,780,465,103,213,4
426,0,361,0,495,0,0,8
427,0,119,0,495,0,0,8
428,0,530,0,495,0,0,8
429,0,487,0,495,0,0,8
430,0,449,0,495,0,0,8
431,0,480,0,495,0,0,8
432,0,486,0,495,0,0,8
433,0,451,0,495,0,0,8
434,0,398,0,495,0,0,8
435,0,449,0,495,0,0,8
436,0,492,0,495,0,0,8
437,0,437,0,495,0,0,8
438,0,475,0,495,0,0,8
439,0,448,0,495,0,0,8
440,0,490,0,495,0,0,8
441,0,480,0,495,0,0,8
442,0,462,0,495,0,0,8
443,1260,510,780,525,111,624,4
444,1967,437,660,540,98,1329,7
445,762,428,690,495,112,155,4
446,11504,421,810,450,103,10951,5
447,718,514,660,480,102,136,4
448,758,464,750,510,114,134,4
449,748,500,705,510,111,127,4
450,818,460,735,585,109,124,4
