bothfoot_L,swing_L,bothfoot_R,swing_R,stand_L,stand_R
0,613,0,0,0,0
0,533,0,0,0,0
0,538,0,0,0,0
0,682,0,495,586,0
790,508,675,615,596,704
740,477,705,510,601,619
760,880,735,510,996,644
960,666,1125,690,811,819
960,581,1005,645,702,839
4389,705,4455,540,805,4294
780,580,990,464,710,650
801,680,900,510,781,700
130,185,945,570,1136,734
110,929,0,0,2176,0
1600,1075,0,0,4856,0
990,520,5070,630,666,844
760,1420,735,645,1466,714
900,600,1650,630,686,814
880,647,135,570,776,754
860,659,779,570,0,740
910,705,134,689,795,825
750,559,945,480,680,630
861,563,855,555,701,730
961,640,855,675,772,829
920,748,915,690,837,833
950,561,975,690,692,828
860,597,735,675,742,718
890,506,915,540,687,713
900,508,840,600,657,753
800,554,810,525,682,678
850,612,810,629,712,758
841,597,885,554,712,729
950,487,915,569,667,773
0,423,0,420,0,0
850,575,780,300,612,1218
900,457,660,690,622,738
760,593,675,585,722,638
811,519,855,510,688,643
750,544,825,495,668,632
790,554,810,524,683,667
810,574,735,644,693,697
690,732,735,569,818,612
830,556,990,539,677,713
850,579,854,539,712,718
820,586,900,509,712,698
790,529,885,510,637,683
680,570,660,570,657,593
860,520,825,555,657,723
820,588,825,570,672,738
1080,709,780,870,812,978
1010,758,1020,615,947,823
1041,659,1110,735,803,898
980,640,870,780,773,847
790,681,900,569,783,697
850,530,119,555,648,733
880,520,794,584,668,732
900,509,855,540,683,727
832,617,855,525,755,697
881,626,855,645,766,745
991,557,960,630,727,824
1000,618,885,675,787,833
930,623,960,600,787,773
1170,713,825,1035,817,1073
920,704,945,720,782,848
940,642,915,734,721,869
820,840,839,659,881,779
950,525,1095,615,651,829
790,591,720,600,721,669
851,568,765,645,732,689
801,606,780,615,747,663
880,655,180,525,802,738
830,628,990,510,762,698
960,485,975,555,682,768
910,794,780,675,937,773
1030,583,1185,600,771,849
790,578,945,509,686,684
790,893,824,524,1026,664
910,565,1185,615,706,774
840,538,870,555,661,719
870,508,810,600,631,749
820,722,720,600,861,689
1210,928,930,1005,1066,1074
1120,763,1260,780,916,974
1200,749,1125,795,946,1004
1070,740,1110,764,880,930
1120,1321,1049,809,1470,980
1002,709,1590,780,812,900
1072,785,960,765,949,913
1021,735,1110,765,835,926
1161,704,900,1005,801,1070
900,729,945,660,826,804
1020,720,1005,735,826,914
1000,716,1020,660,866,854
1130,770,1065,779,921,979
1210,199,1065,839,425,985
260,105,0,0,795,0
1282,675,975,750,1032,930
1703,302,1155,840,1050,963
1620,212,1275,390,392,2700
1290,692,885,645,852,1138
1191,404,195,615,683,918
1140,599,885,795,743,997
890,682,915,569,838,742
880,725,900,660,888,722
1140,741,1095,719,962,928
1060,793,1035,824,962,898
1020,614,1140,660,802,838
1150,657,915,870,827,983
1020,659,870,780,857,823
1080,584,915,855,757,913
1110,699,870,795,902,908
1010,740,1125,600,927,823
891,704,1140,554,833,768
2530,608,119,599,807,2333
821,569,870,645,683,708
0,144,0,0,833,0
852,649,1035,510,790,712
200,389,1035,480,717,725
1020,583,900,645,782,828
400,180,885,690,707,793
1410,221,825,585,372,2158
1110,266,809,824,471,5929
200,258,0,0,931,0
360,284,1140,675,797,884
1130,686,930,765,922,898
1160,412,812,900,551,8950
1100,156,929,704,332,2928
281,228,0,0,842,0
971,377,150,585,516,2548
990,290,870,660,436,1014
1040,755,1005,615,956,1184
990,752,1140,645,921,829
950,681,945,645,866,774
900,713,1050,614,821,799
1670,638,135,600,786,2434
860,692,885,674,785,775
800,786,839,645,890,700
1081,621,960,840,792,910
1200,717,1125,840,886,1173
1091,731,975,795,947,884
921,852,150,600,1003,778
1160,704,1230,720,923,947
1170,934,1005,884,1143,968
1210,622,1216,914,852,988
1130,731,930,825,967,903
1120,666,1065,870,822,968
1050,757,915,780,937,873
1100,747,1170,675,942,908
1060,676,1065,780,837,903
890,537,915,735,617,813
690,461,750,495,532,628
660,463,630,450,582,548
740,447,705,464,602,588
751,489,750,494,598,643
779,171,690,554,311,648
740,499,719,584,576,994
710,504,645,555,596,624
640,529,720,435,611,559
720,526,750,495,616,634
630,530,705,495,576,584
740,527,690,540,616,654
1310,508,765,510,637,6884
731,558,766,510,651,640
810,468,779,524,627,653
700,536,660,584,622,618
710,524,750,479,632,608
770,510,675,630,607,673
680,557,645,555,647,593
801,558,795,600,612,748
770,479,750,510,602,648
690,542,630,585,627,613
720,501,765,495,597,633
730,531,720,510,628,633
699,529,765,480,612,617
741,465,765,464,593,618
740,486,705,510,607,623
790,518,119,525,642,668
690,507,690,555,597,603
681,500,705,465,608,573
711,513,750,465,624,607
711,509,750,495,600,621
751,472,750,480,601,630
671,555,705,435,692,539
700,555,825,495,632,628
780,557,750,585,637,703
750,545,765,555,617,683
710,530,705,555,597,643
820,535,675,630,652,708
791,561,705,644,663,698
710,545,780,539,602,658
830,498,735,659,537,793
842,480,660,600,599,723
813,570,660,690,641,751
850,708,690,720,791,769
800,607,870,660,671,739
800,622,105,510,751,679
911,536,945,600,656,794
320,270,720,615,702,679
820,583,135,510,702,708
850,569,105,570,697,723
830,637,735,659,772,698
780,490,945,479,616,654
